Rok,Województwo,Liczba
2011,Zachodniopomorskie,283
2011,Łódzkie,595
2011,Śląskie,1079
2011,Świętokrzyskie,382
2012,Dolnośląskie,673
2012,Kujawsko-Pomorskie,522
2012,Lubelskie,548
2012,Lubuskie,179
2012,Mazowieckie,911
2012,Małopolskie,775
2012,Opolskie,253
2012,Podkarpackie,565
2012,Podlaskie,274
2012,Pomorskie,600
2012,Warmińsko-Mazurskie,316
2012,Wielkopolskie,734
2012,Zachodniopomorskie,346
2012,Łódzkie,807
2012,Śląskie,1045
2012,Świętokrzyskie,376
2013,Dolnośląskie,674
2013,Kujawsko-Pomorskie,469
2013,Lubelskie,559
2013,Lubuskie,224
2013,Mazowieckie,989
2013,Małopolskie,722
2013,Opolskie,164
2013,Podkarpackie,656
2013,Podlaskie,220
2013,Pomorskie,609
2013,Warmińsko-Mazurskie,352
2013,Wielkopolskie,863
2013,Zachodniopomorskie,298
2013,Łódzkie,1264
2013,Śląskie,1085
2013,Świętokrzyskie,371
2014,Dolnośląskie,693
2014,Kujawsko-Pomorskie,484
2014,Lubelskie,527
2014,Lubuskie,212
2014,Mazowieckie,985
2014,Małopolskie,778
2014,Opolskie,357
2014,Podkarpackie,810
2014,Podlaskie,192
2014,Pomorskie,656
2014,Warmińsko-Mazurskie,358
2014,Wielkopolskie,839
2014,Zachodniopomorskie,377
2014,Łódzkie,990
2014,Śląskie,1105
2014,Świętokrzyskie,416
2015,Dolnośląskie,806
2015,Kujawsko-Pomorskie,498
2015,Lubelskie,511
2015,Lubuskie,215
2015,Mazowieckie,1134
2015,Małopolskie,894
2015,Opolskie,158
2015,Podkarpackie,659
2015,Podlaskie,204
2015,Pomorskie,568
2015,Warmińsko-Mazurskie,354
2015,Wielkopolskie,867
2015,Zachodniopomorskie,349
2015,Łódzkie,914
2015,Śląskie,1174
2015,Świętokrzyskie,373
2016,Dolnośląskie,791
2016,Kujawsko-Pomorskie,384
2016,Lubelskie,485
2016,Lubuskie,144
2016,Mazowieckie,1058
2016,Małopolskie,899
2016,Opolskie,117
2016,Podkarpackie,657
2016,Podlaskie,284
2016,Pomorskie,546
2016,Warmińsko-Mazurskie,356
2016,Wielkopolskie,801
2016,Zachodniopomorskie,258
2016,Łódzkie,868
2016,Śląskie,1102
2016,Świętokrzyskie,414
2017,Dolnośląskie,826
2017,Kujawsko-Pomorskie,484
2017,Lubelskie,502
2017,Lubuskie,152
2017,Mazowieckie,1082
2017,Małopolskie,738
2017,Opolskie,285
2017,Podkarpackie,653
2017,Podlaskie,301
2017,Pomorskie,690
2017,Warmińsko-Mazurskie,280
2017,Wielkopolskie,935
2017,Zachodniopomorskie,198
2017,Łódzkie,1146
2017,Śląskie,1081
2017,Świętokrzyskie,380
2018,Dolnośląskie,1047
2018,Kujawsko-Pomorskie,459
2018,Lubelskie,389
2018,Lubuskie,163
2018,Mazowieckie,1064
2018,Małopolskie,665
2018,Opolskie,296
2018,Podkarpackie,703
2018,Podlaskie,281
2018,Pomorskie,506
2018,Warmińsko-Mazurskie,415
2018,Wielkopolskie,983
2018,Zachodniopomorskie,205
2018,Łódzkie,998
2018,Śląskie,1155
2018,Świętokrzyskie,388
