Rok,Województwo,Średnia
2011,Świętokrzyskie,26.664796308333333
2012,Dolnośląskie,24.709344387863634
2012,Kujawsko-Pomorskie,36.46782056507693
2012,Lubelskie,25.64107496875
2012,Lubuskie,18.994447025333333
2012,Mazowieckie,34.91090092771429
2012,Małopolskie,55.77058614099999
2012,Opolskie,24.622023208
2012,Podkarpackie,27.417738636666666
2012,Podlaskie,12.997448549249999
2012,Pomorskie,24.418049877562503
2012,Warmińsko-Mazurskie,17.66614843275
2012,Wielkopolskie,23.706689377999993
2012,Zachodniopomorskie,25.835594995333327
2012,Łódzkie,30.81955187677778
2012,Śląskie,48.668473083062494
2012,Świętokrzyskie,34.530161074666665
2013,Dolnośląskie,23.103170609272727
2013,Kujawsko-Pomorskie,40.236694899199996
2013,Lubelskie,24.82845450525
2013,Lubuskie,18.161034635500002
2013,Mazowieckie,39.44982660392307
2013,Małopolskie,54.55843709666669
2013,Opolskie,23.0749321355
2013,Podkarpackie,23.848981014750002
2013,Podlaskie,11.938668691
2013,Pomorskie,22.214150263733334
2013,Warmińsko-Mazurskie,17.08906932575
2013,Wielkopolskie,19.563603435428572
2013,Zachodniopomorskie,27.449096706000002
2013,Łódzkie,28.825172407444445
2013,Śląskie,44.087453259117645
2013,Świętokrzyskie,22.32162761475
2014,Dolnośląskie,32.69004681578571
2014,Kujawsko-Pomorskie,33.820389733545454
2014,Lubelskie,22.96920474
2014,Lubuskie,26.55121821733334
2014,Mazowieckie,39.76416784676923
2014,Małopolskie,54.922541946916674
2014,Opolskie,27.871928517
2014,Podkarpackie,21.2996897385
2014,Podlaskie,14.6476594435
2014,Pomorskie,23.425005528062496
2014,Warmińsko-Mazurskie,16.78933174175
2014,Wielkopolskie,22.063687898571427
2014,Zachodniopomorskie,25.346178678199998
2014,Łódzkie,31.171645810900003
2014,Śląskie,44.92932398864708
2014,Świętokrzyskie,22.236283447799998
2015,Dolnośląskie,31.191473455666664
2015,Kujawsko-Pomorskie,35.47341314127273
2015,Lubelskie,21.004727982200002
2015,Lubuskie,20.974204754
2015,Mazowieckie,41.126805547692314
2015,Małopolskie,54.80691081445455
2015,Opolskie,25.006126181
2015,Podkarpackie,19.34343689583333
2015,Podlaskie,14.105736014799998
2015,Pomorskie,22.093055553124998
2015,Warmińsko-Mazurskie,16.611869688250003
2015,Wielkopolskie,24.118515023857146
2015,Zachodniopomorskie,29.491670235600004
2015,Łódzkie,33.151988491000004
2015,Śląskie,44.6243526748125
2015,Świętokrzyskie,26.57489772325
2016,Dolnośląskie,29.3426811263125
2016,Kujawsko-Pomorskie,33.941631141636364
2016,Lubelskie,19.3872933792
2016,Lubuskie,20.645736667333335
2016,Mazowieckie,36.99854512192858
2016,Małopolskie,53.84565706266667
2016,Opolskie,22.778172932
2016,Podkarpackie,18.304088964333335
2016,Podlaskie,11.9645051172
2016,Pomorskie,22.667418100500004
2016,Warmińsko-Mazurskie,16.383029125833335
