Rok,Województwo,Liczba
2010,Świętokrzyskie,1998
2011,Dolnośląskie,4755
2011,Kujawsko-Pomorskie,3420
2011,Lubelskie,3140
2011,Lubuskie,1304
2011,Mazowieckie,6854
2011,Małopolskie,4328
2011,Opolskie,1654
2011,Podkarpackie,2588
2011,Podlaskie,1240
2011,Pomorskie,3707
2011,Warmińsko-Mazurskie,2133
2011,Wielkopolskie,5523
2011,Zachodniopomorskie,2104
2011,Łódzkie,3877
2011,Śląskie,6537
2011,Świętokrzyskie,1938
2012,Dolnośląskie,4814
2012,Kujawsko-Pomorskie,3515
2012,Lubelskie,3196
2012,Lubuskie,1495
2012,Mazowieckie,6891
2012,Małopolskie,4978
2012,Opolskie,1622
2012,Podkarpackie,2878
2012,Podlaskie,1486
2012,Pomorskie,4082
2012,Warmińsko-Mazurskie,2353
2012,Wielkopolskie,5637
2012,Zachodniopomorskie,2929
2012,Łódzkie,4197
2012,Śląskie,7015
2012,Świętokrzyskie,1829
2013,Dolnośląskie,5016
2013,Kujawsko-Pomorskie,3579
2013,Lubelskie,3437
2013,Lubuskie,1509
2013,Mazowieckie,6688
2013,Małopolskie,5016
2013,Opolskie,1820
2013,Podkarpackie,2880
2013,Podlaskie,1443
2013,Pomorskie,4158
2013,Warmińsko-Mazurskie,2280
2013,Wielkopolskie,5948
2013,Zachodniopomorskie,2809
2013,Łódzkie,3767
2013,Śląskie,7026
2013,Świętokrzyskie,2091
2014,Dolnośląskie,5238
2014,Kujawsko-Pomorskie,3982
2014,Lubelskie,3481
2014,Lubuskie,1618
2014,Mazowieckie,6709
2014,Małopolskie,5149
2014,Opolskie,1879
2014,Podkarpackie,3302
2014,Podlaskie,1515
2014,Pomorskie,4040
2014,Warmińsko-Mazurskie,2419
2014,Wielkopolskie,5804
2014,Zachodniopomorskie,3002
2014,Łódzkie,3925
2014,Śląskie,7031
2014,Świętokrzyskie,2201
2015,Dolnośląskie,4784
2015,Kujawsko-Pomorskie,3782
2015,Lubelskie,3724
2015,Lubuskie,1551
2015,Mazowieckie,7057
2015,Małopolskie,4994
2015,Opolskie,1578
2015,Podkarpackie,3153
2015,Podlaskie,1529
2015,Pomorskie,4310
2015,Warmińsko-Mazurskie,2550
2015,Wielkopolskie,6286
2015,Zachodniopomorskie,3184
2015,Łódzkie,3498
2015,Śląskie,7362
2015,Świętokrzyskie,2175
2016,Dolnośląskie,4805
2016,Kujawsko-Pomorskie,3674
2016,Lubelskie,3713
2016,Lubuskie,1498
2016,Mazowieckie,6775
2016,Małopolskie,4962
2016,Opolskie,1602
2016,Podkarpackie,2985
2016,Podlaskie,1536
2016,Pomorskie,4273
2016,Warmińsko-Mazurskie,2447
2016,Wielkopolskie,6048
2016,Zachodniopomorskie,2807
2016,Łódzkie,4135
2016,Śląskie,7349
2016,Świętokrzyskie,2255
2017,Dolnośląskie,5057
2017,Kujawsko-Pomorskie,3842
2017,Lubelskie,3693
2017,Lubuskie,1523
2017,Mazowieckie,6988
2017,Małopolskie,4853
2017,Opolskie,1815
2017,Podkarpackie,3130
2017,Podlaskie,1515
2017,Pomorskie,4089
2017,Warmińsko-Mazurskie,2368
2017,Wielkopolskie,6275
2017,Zachodniopomorskie,2917
2017,Łódzkie,3845
2017,Śląskie,7253
2017,Świętokrzyskie,2188
2018,Dolnośląskie,4929
2018,Kujawsko-Pomorskie,3981
2018,Lubelskie,3615
2018,Lubuskie,1277
2018,Mazowieckie,6699
2018,Małopolskie,4859
2018,Opolskie,1841
2018,Podkarpackie,3304
2018,Podlaskie,1429
2018,Pomorskie,4283
2018,Warmińsko-Mazurskie,2359
2018,Wielkopolskie,6327
2018,Zachodniopomorskie,2854
2018,Łódzkie,4178
2018,Śląskie,7678
2018,Świętokrzyskie,2260
