Rok,Województwo,Liczba
2010,Świętokrzyskie,5239
2011,Dolnośląskie,12354
2011,Kujawsko-Pomorskie,8571
2011,Lubelskie,8031
2011,Lubuskie,3503
2011,Mazowieckie,17442
2011,Małopolskie,12026
2011,Opolskie,3977
2011,Podkarpackie,7242
2011,Podlaskie,3775
2011,Pomorskie,9461
2011,Warmińsko-Mazurskie,5158
2011,Wielkopolskie,13787
2011,Zachodniopomorskie,5469
2011,Łódzkie,10216
2011,Śląskie,17843
2011,Świętokrzyskie,5167
2012,Dolnośląskie,12334
2012,Kujawsko-Pomorskie,8897
2012,Lubelskie,8156
2012,Lubuskie,3942
2012,Mazowieckie,18016
2012,Małopolskie,13335
2012,Opolskie,4214
2012,Podkarpackie,7927
2012,Podlaskie,4010
2012,Pomorskie,10454
2012,Warmińsko-Mazurskie,5552
2012,Wielkopolskie,14213
2012,Zachodniopomorskie,6659
2012,Łódzkie,11083
2012,Śląskie,18589
2012,Świętokrzyskie,5185
2013,Dolnośląskie,12921
2013,Kujawsko-Pomorskie,9112
2013,Lubelskie,8764
2013,Lubuskie,3935
2013,Mazowieckie,17721
2013,Małopolskie,13125
2013,Opolskie,4342
2013,Podkarpackie,8116
2013,Podlaskie,4033
2013,Pomorskie,10655
2013,Warmińsko-Mazurskie,5935
2013,Wielkopolskie,15000
2013,Zachodniopomorskie,6438
2013,Łódzkie,11495
2013,Śląskie,19142
2013,Świętokrzyskie,5432
2014,Dolnośląskie,13399
2014,Kujawsko-Pomorskie,9703
2014,Lubelskie,8777
2014,Lubuskie,4115
2014,Mazowieckie,17788
2014,Małopolskie,13281
2014,Opolskie,4601
2014,Podkarpackie,9435
2014,Podlaskie,4089
2014,Pomorskie,10187
2014,Warmińsko-Mazurskie,5981
2014,Wielkopolskie,14774
2014,Zachodniopomorskie,6996
2014,Łódzkie,11358
2014,Śląskie,18748
2014,Świętokrzyskie,5643
2015,Dolnośląskie,13102
2015,Kujawsko-Pomorskie,9863
2015,Lubelskie,9071
2015,Lubuskie,4157
2015,Mazowieckie,19463
2015,Małopolskie,13285
2015,Opolskie,4092
2015,Podkarpackie,8915
2015,Podlaskie,4259
2015,Pomorskie,10950
2015,Warmińsko-Mazurskie,6430
2015,Wielkopolskie,15943
2015,Zachodniopomorskie,7396
2015,Łódzkie,11039
2015,Śląskie,19160
2015,Świętokrzyskie,5858
2016,Dolnośląskie,13391
2016,Kujawsko-Pomorskie,9841
2016,Lubelskie,9170
2016,Lubuskie,4035
2016,Mazowieckie,19486
2016,Małopolskie,13223
2016,Opolskie,4037
2016,Podkarpackie,8648
2016,Podlaskie,4243
2016,Pomorskie,11271
2016,Warmińsko-Mazurskie,6245
2016,Wielkopolskie,15818
2016,Zachodniopomorskie,7079
2016,Łódzkie,11644
2016,Śląskie,19531
2016,Świętokrzyskie,6170
2017,Dolnośląskie,13482
2017,Kujawsko-Pomorskie,10360
2017,Lubelskie,9108
2017,Lubuskie,3902
2017,Mazowieckie,19317
2017,Małopolskie,12892
2017,Opolskie,4512
2017,Podkarpackie,8766
2017,Podlaskie,4120
2017,Pomorskie,11391
2017,Warmińsko-Mazurskie,5837
2017,Wielkopolskie,16515
2017,Zachodniopomorskie,6687
2017,Łódzkie,11672
2017,Śląskie,19971
2017,Świętokrzyskie,6025
2018,Dolnośląskie,13703
2018,Kujawsko-Pomorskie,10466
2018,Lubelskie,9029
2018,Lubuskie,3681
2018,Mazowieckie,19445
2018,Małopolskie,12695
2018,Opolskie,4623
2018,Podkarpackie,9130
2018,Podlaskie,4163
2018,Pomorskie,11304
2018,Warmińsko-Mazurskie,5958
2018,Wielkopolskie,16723
2018,Zachodniopomorskie,7476
2018,Łódzkie,11684
2018,Śląskie,20813
2018,Świętokrzyskie,6222
