Rok,Województwo,Liczba
2011,Mazowieckie,2649
2011,Małopolskie,1483
2011,Opolskie,564
2011,Podkarpackie,886
2011,Podlaskie,453
2011,Pomorskie,1408
2011,Warmińsko-Mazurskie,948
2011,Wielkopolskie,1879
2011,Zachodniopomorskie,926
2011,Łódzkie,1570
2011,Śląskie,2618
2011,Świętokrzyskie,759
2012,Dolnośląskie,1859
2012,Kujawsko-Pomorskie,1480
2012,Lubelskie,1211
2012,Lubuskie,580
2012,Mazowieckie,2669
2012,Małopolskie,1594
2012,Opolskie,542
2012,Podkarpackie,992
2012,Podlaskie,555
2012,Pomorskie,1491
2012,Warmińsko-Mazurskie,1036
2012,Wielkopolskie,1852
2012,Zachodniopomorskie,1119
2012,Łódzkie,1429
2012,Śląskie,2716
2012,Świętokrzyskie,712
2013,Dolnośląskie,1836
2013,Kujawsko-Pomorskie,1544
2013,Lubelskie,1076
2013,Lubuskie,566
2013,Mazowieckie,2685
2013,Małopolskie,1616
2013,Opolskie,564
2013,Podkarpackie,941
2013,Podlaskie,497
2013,Pomorskie,1462
2013,Warmińsko-Mazurskie,983
2013,Wielkopolskie,1961
2013,Zachodniopomorskie,1043
2013,Łódzkie,1275
2013,Śląskie,2723
2013,Świętokrzyskie,751
2014,Dolnośląskie,1889
2014,Kujawsko-Pomorskie,1667
2014,Lubelskie,1144
2014,Lubuskie,614
2014,Mazowieckie,2470
2014,Małopolskie,1619
2014,Opolskie,599
2014,Podkarpackie,964
2014,Podlaskie,491
2014,Pomorskie,1526
2014,Warmińsko-Mazurskie,1063
2014,Wielkopolskie,1865
2014,Zachodniopomorskie,1129
2014,Łódzkie,1397
2014,Śląskie,2745
2014,Świętokrzyskie,820
2015,Dolnośląskie,1785
2015,Kujawsko-Pomorskie,1474
2015,Lubelskie,1011
2015,Lubuskie,560
2015,Mazowieckie,2772
2015,Małopolskie,1628
2015,Opolskie,494
2015,Podkarpackie,925
2015,Podlaskie,543
2015,Pomorskie,1601
2015,Warmińsko-Mazurskie,1046
2015,Wielkopolskie,2000
2015,Zachodniopomorskie,1148
2015,Łódzkie,1389
2015,Śląskie,2831
2015,Świętokrzyskie,755
2016,Dolnośląskie,1848
2016,Kujawsko-Pomorskie,1659
2016,Lubelskie,1037
2016,Lubuskie,575
2016,Mazowieckie,2583
2016,Małopolskie,1501
2016,Opolskie,453
2016,Podkarpackie,946
2016,Podlaskie,508
2016,Pomorskie,1536
2016,Warmińsko-Mazurskie,1019
2016,Wielkopolskie,2106
2016,Zachodniopomorskie,1223
2016,Łódzkie,1602
2016,Śląskie,2792
2016,Świętokrzyskie,808
2017,Dolnośląskie,1896
2017,Kujawsko-Pomorskie,1509
2017,Lubelskie,1053
2017,Lubuskie,565
2017,Mazowieckie,2643
2017,Małopolskie,1453
2017,Opolskie,514
2017,Podkarpackie,930
2017,Podlaskie,519
2017,Pomorskie,1548
2017,Warmińsko-Mazurskie,988
2017,Wielkopolskie,2026
2017,Zachodniopomorskie,1022
2017,Łódzkie,1478
2017,Śląskie,2679
2017,Świętokrzyskie,720
2018,Dolnośląskie,1970
2018,Kujawsko-Pomorskie,1594
2018,Lubelskie,934
2018,Lubuskie,457
2018,Mazowieckie,2261
2018,Małopolskie,1555
2018,Opolskie,559
2018,Podkarpackie,892
2018,Podlaskie,406
2018,Pomorskie,1595
2018,Warmińsko-Mazurskie,1002
2018,Wielkopolskie,1967
2018,Zachodniopomorskie,1053
2018,Łódzkie,1559
2018,Śląskie,2662
2018,Świętokrzyskie,760
